4,17
28,24
7,16
19,29
5,9
9,24
27,5
22,2
31,2
24,19
12,18
13,25
31,21
20,15
6,18
19,10
4,15
3,11
0,22
8,5
31,17
29,26
23,19
28,22
21,20
9,1
7,23
27,6
12,15
21,19
1,8
29,5
24,0
17,24
23,25
29,22
11,26
17,2
13,13
24,2
2,1
4,9
24,31
15,5
14,4
24,15
13,21
21,5
22,6
29,13
31,26
3,10
20,20
12,1
2,4
3,4
6,7
13,30
6,28
3,20
0,27
4,13
17,25
18,7
31,15
20,30
9,23
9,29
12,21
30,14
26,2
18,0
9,31
30,16
27,2
4,27
29,8
9,14
1,27
21,0
11,9
31,20
18,13
29,16
27,23
23,28
12,22
12,7
24,16
2,21
25,11
4,26
7,25
27,18
3,26
6,4
2,24
17,31
9,12
23,27
25,14
23,5
4,3
12,28
20,14
26,22
7,1
15,2
19,18
28,25
22,30
30,27
19,21
22,12
3,14
17,8
17,29
4,5
18,6
12,26
7,28
28,26
14,25
19,5
0,0
10,23
12,14
5,30
