0,10 164
0,18 198
0,76 228
0,204 161
0,217 231
0,223 254
0,225 4
1,13 193
1,33 211
1,95 48
1,116 165
1,127 122
1,177 109
1,221 113
2,39 32
2,42 19
2,55 96
2,81 196
2,93 127
2,113 26
2,226 189
3,31 55
3,79 112
3,133 1
3,134 211
3,179 191
3,197 184
4,84 133
4,90 174
4,118 193
4,161 43
4,184 24
4,209 72
4,234 188
4,246 240
5,18 112
5,29 120
5,73 164
5,170 138
5,177 183
5,198 38
5,200 227
5,230 236
5,241 3
6,2 189
6,17 18
6,83 234
6,213 88
6,218 93
6,227 26
7,110 28
7,127 24
7,154 149
7,195 128
7,221 76
7,229 36
7,236 93
8,17 203
8,75 171
8,159 90
8,188 105
8,203 1
8,223 199
8,251 172
9,28 101
9,51 66
9,52 40
9,75 165
9,85 102
9,92 7
9,95 70
9,98 39
9,205 205
9,237 202
10,89 69
10,104 78
10,139 241
10,177 215
11,135 186
11,143 68
11,153 192
11,209 39
11,217 170
12,5 105
12,106 131
12,134 139
12,144 241
12,196 248
12,197 137
12,214 10
12,225 156
12,230 190
12,245 44
13,43 86
13,100 7
13,128 164
13,143 227
13,217 53
13,229 57
13,231 5
13,238 99
14,22 78
14,93 55
14,215 178
14,220 208
14,240 187
15,33 181
15,101 245
15,105 40
15,131 84
15,146 51
15,157 87
15,173 117
15,252 42
16,0 202
16,93 70
16,133 227
16,161 122
16,164 177
17,80 101
17,111 101
17,113 236
17,125 12
17,131 176
17,150 174
17,178 30
17,205 39
17,211 16
18,24 224
18,36 239
18,87 228
18,161 187
18,180 48
18,216 5
18,217 7
19,8 152
19,23 164
19,53 183
19,64 45
19,70 119
19,76 100
19,132 213
19,167 225
19,187 97
19,231 3
20,22 238
20,26 133
20,72 80
20,90 149
20,126 237
20,130 69
20,134 22
20,151 243
20,169 130
20,240 133
21,4 188
21,48 60
21,58 46
21,115 67
21,127 13
21,193 98
21,213 199
21,223 235
21,233 58
22,21 26
22,54 51
22,87 222
22,133 54
22,140 60
22,158 61
22,167 183
22,184 147
22,194 69
22,232 0
22,240 49
23,94 9
23,100 183
23,108 194
23,154 201
23,255 184
24,0 11
24,1 49
24,10 52
24,28 207
24,51 6
